,gzzz,height,ratio
146,3.24222124808e-05,2000.0,2.5
147,0.000167630589918,2000.0,2.5
148,1.95231061787e-05,2000.0,2.5
149,2.83677019839e-06,2000.0,2.5
150,0.000154395062111,2000.0,2.5
151,0.000176423682958,2000.0,2.5
152,0.000143031532277,2000.0,2.5
153,0.000154197625199,2000.0,2.5
154,0.000127661542887,2000.0,2.5
155,0.000127661542887,2000.0,2.5
156,0.000154197625199,2000.0,2.5
157,0.000143031532277,2000.0,2.5
158,0.000176423682958,2000.0,2.5
159,0.000154395062111,2000.0,2.5
160,0.000161476159366,2000.0,2.5
161,0.000185791947478,2000.0,2.5
162,0.000191306056173,2000.0,2.5
163,0.000222430494536,2000.0,2.5
164,0.000212146860732,2000.0,2.5
165,0.000212146860732,2000.0,2.5
166,0.000222430494536,2000.0,2.5
167,0.000191306056173,2000.0,2.5
168,0.000185791947478,2000.0,2.5
169,0.000161476159366,2000.0,2.5
170,7.29284735846e-05,2000.0,2.5
171,0.000100103042801,2000.0,2.5
172,0.000109516693082,2000.0,2.5
173,0.000109315597902,2000.0,2.5
174,0.000123344301103,2000.0,2.5
175,0.000123344301104,2000.0,2.5
176,0.000109315597902,2000.0,2.5
177,0.000109516693082,2000.0,2.5
178,0.000100103042801,2000.0,2.5
179,7.29284735845e-05,2000.0,2.5
180,8.28901948342e-05,2000.0,2.5
181,8.77449515019e-05,2000.0,2.5
182,7.18935476852e-05,2000.0,2.5
183,7.54213187189e-05,2000.0,2.5
184,7.11001612862e-05,2000.0,2.5
185,7.11001612864e-05,2000.0,2.5
186,7.54213187189e-05,2000.0,2.5
187,7.18935476852e-05,2000.0,2.5
188,8.77449515019e-05,2000.0,2.5
189,8.28901948342e-05,2000.0,2.5
190,0.000186819739833,2000.0,2.5
191,0.000186819739833,2000.0,2.5
192,0.000186819739833,2000.0,2.5
193,0.000186819739833,2000.0,2.5
194,0.000186819739833,2000.0,2.5
195,0.000186819739833,2000.0,2.5
196,0.000186819739833,2000.0,2.5
197,0.000186819739833,2000.0,2.5
198,0.000186819739833,2000.0,2.5
199,0.000186819739833,2000.0,2.5
200,3.25464708358e-06,2000.0,5.0
201,4.37807937627e-06,2000.0,5.0
202,4.61225481261e-06,2000.0,5.0
203,2.31491888599e-06,2000.0,5.0
204,1.22214669355e-06,2000.0,5.0
205,1.22214669329e-06,2000.0,5.0
206,2.31491888636e-06,2000.0,5.0
207,4.61225481268e-06,2000.0,5.0
208,4.37807937625e-06,2000.0,5.0
209,3.25464708353e-06,2000.0,5.0
210,2.4672876244e-06,2000.0,5.0
211,2.61819089011e-06,2000.0,5.0
212,5.92212321268e-07,2000.0,5.0
