point,gxxx,gxxy,gxxz,gxyz,gyyx,gyyy,gyyz,gzzx,gzzy,gzzz,size,ratio
0,0.000370796274492,4.72305571389e-18,0.00119084642681,7.66564817265e-20,0.000732094685042,9.05478220615e-18,1.80574290242e-05,0.000361298410343,1.67797226851e-18,0.0012089038558,1.0,0.0
1,0.000370796274586,7.71402391834e-15,0.00119084642682,3.67140713515e-16,0.000732094685062,8.65898065056e-16,1.80574290243e-05,0.000361298410319,2.82399344659e-15,0.00120890385581,1.0,0.0
2,0.000370796274561,9.0475078872e-15,0.00119084642682,5.97249283856e-16,0.000732094685055,4.65821364771e-15,1.8057429024e-05,0.000361298410325,1.43341522191e-15,0.00120890385581,1.0,0.0
3,0.000370796274553,1.92315103729e-15,0.00119084642682,1.42468866497e-15,0.000732094685054,2.20824877481e-15,1.80574290245e-05,0.000361298410327,1.01698163779e-16,0.00120890385581,1.0,0.0
4,0.000370796274543,6.40153620217e-15,0.00119084642682,3.12001197989e-16,0.000732094685052,3.66238072855e-15,1.80574290251e-05,0.00036129841033,8.93558772981e-16,0.00120890385581,1.0,0.0
5,0.000370796274543,6.39673183129e-15,0.00119084642682,3.11886001509e-16,0.000732094685052,3.66519626606e-15,1.80574290251e-05,0.00036129841033,8.90941441174e-16,0.00120890385581,1.0,0.0
6,0.000370796274553,1.92750817477e-15,0.00119084642682,1.42473228717e-15,0.000732094685054,2.20473867028e-15,1.80574290245e-05,0.000361298410327,1.00590244684e-16,0.00120890385581,1.0,0.0
7,0.000370796274561,9.04202927809e-15,0.00119084642682,5.97241237043e-16,0.000732094685055,4.66154756939e-15,1.8057429024e-05,0.000361298410325,1.43181094151e-15,0.00120890385581,1.0,0.0
8,0.000370796274586,7.70286341222e-15,0.00119084642682,3.66904179564e-16,0.000732094685062,8.6666378284e-16,1.80574290243e-05,0.000361298410319,2.82065020754e-15,0.00120890385581,1.0,0.0
9,0.000370796274492,7.19639191987e-18,0.00119084642681,1.96511643763e-19,0.000732094685042,1.0679391399e-17,1.80574290242e-05,0.000361298410343,1.10622502911e-18,0.0012089038558,1.0,0.0
