point,file,gxxx,gxxy,gxxz,gxyz,gyyx,gyyy,gyyz,gzzx,gzzy,gzzz,ratio,size
0,tesseroid_vs_spherical_shell_files/effect-model-size1.0.tess-ratio0.0-height2000-pole.txt,0.000370796274492,-4.72305571389e-18,-0.00119068147023,-7.66564817265e-20,-0.000732094685042,9.05478220615e-18,-1.78924724448e-05,0.000361298410343,-1.67797226851e-18,0.00120857394264,0.0,1.0
1,tesseroid_vs_spherical_shell_files/effect-model-size1.0.tess-ratio0.0-height2000-pole.txt,0.000370796274586,-7.71402391834e-15,-0.00119068147024,-3.67140713515e-16,-0.000732094685062,-8.65898065056e-16,-1.78924724449e-05,0.000361298410319,2.82399344659e-15,0.00120857394265,0.0,1.0
2,tesseroid_vs_spherical_shell_files/effect-model-size1.0.tess-ratio0.0-height2000-pole.txt,0.000370796274561,-9.0475078872e-15,-0.00119068147024,5.97249283856e-16,-0.000732094685055,4.65821364771e-15,-1.78924724446e-05,0.000361298410325,1.43341522191e-15,0.00120857394265,0.0,1.0
3,tesseroid_vs_spherical_shell_files/effect-model-size1.0.tess-ratio0.0-height2000-pole.txt,0.000370796274553,1.92315103729e-15,-0.00119068147024,-1.42468866497e-15,-0.000732094685054,-2.20824877481e-15,-1.78924724451e-05,0.000361298410327,1.01698163779e-16,0.00120857394265,0.0,1.0
4,tesseroid_vs_spherical_shell_files/effect-model-size1.0.tess-ratio0.0-height2000-pole.txt,0.000370796274543,-6.40153620217e-15,-0.00119068147024,-3.12001197989e-16,-0.000732094685052,3.66238072855e-15,-1.78924724457e-05,0.00036129841033,8.93558772981e-16,0.00120857394265,0.0,1.0
5,tesseroid_vs_spherical_shell_files/effect-model-size1.0.tess-ratio0.0-height2000-pole.txt,0.000370796274543,6.39673183129e-15,-0.00119068147024,3.11886001509e-16,-0.000732094685052,-3.66519626606e-15,-1.78924724457e-05,0.00036129841033,-8.90941441174e-16,0.00120857394265,0.0,1.0
6,tesseroid_vs_spherical_shell_files/effect-model-size1.0.tess-ratio0.0-height2000-pole.txt,0.000370796274553,-1.92750817477e-15,-0.00119068147024,1.42473228717e-15,-0.000732094685054,2.20473867028e-15,-1.78924724451e-05,0.000361298410327,-1.00590244684e-16,0.00120857394265,0.0,1.0
7,tesseroid_vs_spherical_shell_files/effect-model-size1.0.tess-ratio0.0-height2000-pole.txt,0.000370796274561,9.04202927809e-15,-0.00119068147024,-5.97241237043e-16,-0.000732094685055,-4.66154756939e-15,-1.78924724446e-05,0.000361298410325,-1.43181094151e-15,0.00120857394265,0.0,1.0
8,tesseroid_vs_spherical_shell_files/effect-model-size1.0.tess-ratio0.0-height2000-pole.txt,0.000370796274586,7.70286341222e-15,-0.00119068147024,3.66904179564e-16,-0.000732094685062,8.6666378284e-16,-1.78924724449e-05,0.000361298410319,-2.82065020754e-15,0.00120857394265,0.0,1.0
9,tesseroid_vs_spherical_shell_files/effect-model-size1.0.tess-ratio0.0-height2000-pole.txt,0.000370796274492,-7.19639191987e-18,-0.00119068147023,-1.96511643763e-19,-0.000732094685042,1.0679391399e-17,-1.78924724448e-05,0.000361298410343,-1.10622502911e-18,0.00120857394264,0.0,1.0
10,tesseroid_vs_spherical_shell_files/effect-model-size1.0.tess-ratio0.0-height2000-pole.txt,0.0258431007499,-1.56125112838e-17,-0.0107805631956,3.68628738645e-18,-0.00200998413359,-2.81892564846e-18,0.000368027631665,-0.0238331166119,7.1557343384e-18,0.0104125355631,0.0,1.0
11,tesseroid_vs_spherical_shell_files/effect-model-size1.0.tess-ratio0.0-height2000-pole.txt,0.0258431007474,-8.31962537057e-15,-0.0107805631952,6.95491299101e-15,-0.00200998413327,1.05989435978e-14,0.000368027631628,-0.0238331166112,-1.86507168216e-15,0.0104125355629,0.0,1.0
12,tesseroid_vs_spherical_shell_files/effect-model-size1.0.tess-ratio0.0-height2000-pole.txt,0.0258431007509,6.9437294456e-14,-0.0107805631959,4.24194099985e-16,-0.00200998413409,-9.16128067505e-14,0.000368027631741,-0.023833116612,6.59268104518e-15,0.0104125355632,0.0,1.0
13,tesseroid_vs_spherical_shell_files/effect-model-size1.0.tess-ratio0.0-height2000-pole.txt,0.0258431007494,-2.32684965046e-13,-0.0107805631956,3.79826107632e-14,-0.00200998413352,3.04126298797e-14,0.00036802763166,-0.0238331166118,6.40669700451e-14,0.0104125355631,0.0,1.0
14,tesseroid_vs_spherical_shell_files/effect-model-size1.0.tess-ratio0.0-height2000-pole.txt,0.0258431007518,1.16943564207e-13,-0.010780563196,-2.05658515391e-14,-0.00200998413465,-5.52953949989e-14,0.000368027631804,-0.0238331166122,-1.84100239393e-14,0.0104125355633,0.0,1.0
15,tesseroid_vs_spherical_shell_files/effect-model-size1.0.tess-ratio0.0-height2000-pole.txt,0.0258431007518,-1.16960260921e-13,-0.010780563196,2.05696462467e-14,-0.00200998413465,5.52622184125e-14,0.000368027631803,-0.0238331166122,1.84177217748e-14,0.0104125355633,0.0,1.0
16,tesseroid_vs_spherical_shell_files/effect-model-size1.0.tess-ratio0.0-height2000-pole.txt,0.0258431007494,2.32668918854e-13,-0.0107805631956,-3.79819873469e-14,-0.00200998413352,-3.04409275564e-14,0.000368027631659,-0.0238331166118,-6.40600853613e-14,0.0104125355631,0.0,1.0
17,tesseroid_vs_spherical_shell_files/effect-model-size1.0.tess-ratio0.0-height2000-pole.txt,0.0258431007509,-6.95435462689e-14,-0.0107805631959,-4.28205648023e-16,-0.00200998413409,9.15378883803e-14,0.000368027631741,-0.023833116612,-6.53952803367e-15,0.0104125355632,0.0,1.0
18,tesseroid_vs_spherical_shell_files/effect-model-size1.0.tess-ratio0.0-height2000-pole.txt,0.0258431007474,8.22389031874e-15,-0.0107805631952,-6.93938179488e-15,-0.00200998413327,-1.05844152887e-14,0.000368027631628,-0.0238331166112,1.88998122708e-15,0.0104125355629,0.0,1.0
19,tesseroid_vs_spherical_shell_files/effect-model-size1.0.tess-ratio0.0-height2000-pole.txt,0.0258431007499,-4.18502038579e-17,-0.0107805631956,8.29414661951e-18,-0.00200998413359,4.98732999343e-18,0.000368027631665,-0.0238331166119,1.1980434006e-17,0.0104125355631,0.0,1.0
20,tesseroid_vs_spherical_shell_files/effect-model-size1.0.tess-ratio0.0-height2000-pole.txt,4.67785488642,3.66373598126e-14,-3.24605067109,9.08162434143e-14,0.122481428473,-1.27453603227e-13,0.0540812223188,-4.80033625987,6.80566714095e-14,3.1919694997,0.0,1.0
21,tesseroid_vs_spherical_shell_files/effect-model-size1.0.tess-ratio0.0-height2000-pole.txt,4.68547129204,-0.0456868756685,-3.22953652678,-0.0616473202314,0.0975442010492,0.0959663436815,0.0280892560616,-4.78301543749,-0.0502794654873,3.2014473221,0.0,1.0
22,tesseroid_vs_spherical_shell_files/effect-model-size1.0.tess-ratio0.0-height2000-pole.txt,4.70550482438,-0.0714244447402,-3.18670983858,-0.0960741303659,0.0326471140559,0.149874377775,-0.0394734807564,-4.73815190183,-0.0784499306036,3.22618335169,0.0,1.0
23,tesseroid_vs_spherical_shell_files/effect-model-size1.0.tess-ratio0.0-height2000-pole.txt,4.72958237304,-0.0642314866805,-3.1362555004,-0.0861044344717,-0.0441910769605,0.134630466696,-0.119334320765,-4.68539121892,-0.0703989868942,3.25558989471,0.0,1.0
