,gxxx,gxxy,gxxz,gxyz,gyyx,gyyy,gyyz,gzzx,gzzy,gzzz,height
0,0.0,0.0,1.64956579374e-07,0.0,0.0,0.0,1.64956579374e-07,0.0,0.0,-3.29913158748e-07,2000.0
1,0.0,0.0,1.64749903681e-07,0.0,0.0,0.0,1.64749903681e-07,0.0,0.0,-3.29499807361e-07,4000.0
2,0.0,0.0,1.64543551568e-07,0.0,0.0,0.0,1.64543551568e-07,0.0,0.0,-3.29087103136e-07,6000.0
3,0.0,0.0,1.64337522429e-07,0.0,0.0,0.0,1.64337522429e-07,0.0,0.0,-3.28675044858e-07,8000.0
4,0.0,0.0,1.64131815657e-07,0.0,0.0,0.0,1.64131815657e-07,0.0,0.0,-3.28263631314e-07,10000.0
5,0.0,0.0,1.60084455043e-07,0.0,0.0,0.0,1.60084455043e-07,0.0,0.0,-3.20168910085e-07,50000.0
6,0.0,0.0,1.50498653919e-07,0.0,0.0,0.0,1.50498653919e-07,0.0,0.0,-3.00997307838e-07,150000.0
7,0.0,0.0,1.4076828102e-07,0.0,0.0,0.0,1.4076828102e-07,0.0,0.0,-2.8153656204e-07,260000.0
