point,gxxx,gxxy,gxxz,gxyz,gyyx,gyyy,gyyz,gzzx,gzzy,gzzz,size,ratio
1764,3.66375384705e-10,8.45231269585e-12,1.28677333951e-10,6.35160610413e-11,1.70070728286e-10,2.04644583831e-10,1.21255451897e-10,7.13848787423e-10,1.97200085004e-10,1.31550771008e-09,1.0,42.5
1765,3.66375040855e-10,8.45227975909e-12,1.28676914109e-10,6.35160142272e-11,1.70070771602e-10,2.04644616326e-10,1.21255648196e-10,7.13848878046e-10,1.97194882761e-10,1.31550807465e-09,1.0,42.5
1766,1.68287616593e-10,4.55931680154e-11,8.32605280122e-11,6.28642148926e-12,8.32238930893e-11,1.09167293881e-10,1.97032600347e-10,4.34618768354e-10,1.71066385304e-10,1.9134022781e-09,1.0,42.5
1767,2.56688384182e-10,8.35495738228e-11,5.99107822212e-11,3.2960306808e-11,1.64870902344e-10,2.55434442057e-10,2.93212134794e-10,5.76238010167e-10,3.81091044677e-10,1.94096452027e-09,1.0,42.5
1768,7.32949209046e-11,2.23324727535e-11,8.81178721272e-11,8.89639504463e-11,2.88998552064e-12,1.68740824412e-10,1.38828288011e-10,2.01542496675e-10,3.78051213258e-10,2.05407339561e-09,1.0,42.5
1769,1.51506966237e-11,8.77940169005e-17,9.91001755002e-11,8.72250534735e-18,4.72414636733e-11,2.30152381556e-15,2.18670245532e-10,2.28627425541e-10,1.29210747133e-15,2.16319397699e-09,1.0,42.5
1770,4.34214029706e-11,9.54855778608e-15,2.67697562292e-11,2.27208807776e-16,9.51508792939e-11,1.21002722218e-14,1.87114333134e-10,4.30664757297e-11,2.43142651636e-13,9.21001751349e-10,1.0,42.5
1771,1.25087430424e-10,1.690779842e-11,2.17924246485e-10,3.04950582647e-12,7.43653212685e-12,2.67338125889e-10,8.52288681992e-11,2.36075548169e-10,4.33021650235e-10,4.11045386088e-10,1.0,42.5
1772,4.56395453122e-11,1.61295442365e-11,1.81877111708e-10,9.31439135728e-11,3.70171730268e-11,4.25360882143e-11,2.47935565307e-10,1.11509725019e-10,4.36179905376e-11,4.61964955502e-10,1.0,42.5
1773,3.3174112442e-10,1.40565883294e-10,1.80595658867e-10,3.53942158944e-11,5.95867777398e-11,2.07002252829e-10,1.1508128539e-10,5.07215514661e-10,3.42998353058e-10,6.60392414279e-10,1.0,42.5
1774,3.6038813732e-10,6.22567994629e-11,8.19836606943e-11,9.83436257678e-11,1.23848555979e-10,1.68569515811e-10,4.32859746018e-11,6.03985582085e-10,1.06475769336e-10,8.82642149012e-10,1.0,42.5
1775,3.60388141633e-10,6.22567663783e-11,8.19835520392e-11,9.83434466465e-11,1.238486397e-10,1.68569304141e-10,4.32862611768e-11,6.03985819942e-10,1.06470822115e-10,8.82642578602e-10,1.0,42.5
1776,3.31741065571e-10,1.40565894813e-10,1.80595844642e-10,3.53943181031e-11,5.95867592506e-11,2.0700219085e-10,1.1508122248e-10,5.07215554954e-10,3.42998264794e-10,6.60392039588e-10,1.0,42.5
1777,4.56394727795e-11,1.61296113081e-11,1.81876852049e-10,9.31438450426e-11,3.7017243924e-11,4.2535704711e-11,2.47935616143e-10,1.11509509441e-10,4.36153533777e-11,4.61966034855e-10,1.0,42.5
1778,1.25087094406e-10,1.69079772303e-11,2.17924453698e-10,3.04956242585e-12,7.4364499002e-12,2.67338027788e-10,8.52279218733e-11,2.3607510436e-10,4.33025716005e-10,4.1104558584e-10,1.0,42.5
1779,4.34215266444e-11,2.43318231302e-17,2.67695668253e-11,8.53662394301e-18,9.51508829402e-11,4.18920003262e-15,1.86782930279e-10,4.30664969557e-11,4.78741225574e-15,9.21001795217e-10,1.0,42.5
1780,1.1057798096e-10,9.7428684226e-15,1.10096601172e-10,3.22829873585e-16,1.19306432094e-10,9.16299180829e-15,3.20961675222e-10,8.25895440164e-11,2.52888479426e-13,2.26918438398e-09,1.0,42.5
1781,1.47732413787e-10,3.06660386624e-11,2.01785431532e-11,3.71600787362e-11,5.83746499864e-11,2.62077220889e-10,4.34053557222e-11,5.22654122672e-11,4.01182956824e-10,1.82579997334e-09,1.0,42.5
1782,1.53763100766e-10,2.61630879899e-11,3.88470139863e-11,5.12919394568e-13,4.75940584105e-11,2.82692042664e-11,2.78248888879e-10,8.73245967357e-11,7.21218785753e-11,1.86227073273e-09,1.0,42.5
1783,5.60860112783e-11,3.50636185802e-11,8.18675236982e-11,9.06069691428e-11,4.34199462381e-11,2.98824775936e-11,1.43708472464e-10,4.39190776446e-11,3.1841042431e-11,1.82966596122e-09,1.0,42.5
1784,6.89853738457e-11,8.22805969823e-12,1.83866594466e-10,3.62026359919e-11,1.79589446322e-10,1.12913421525e-10,1.57464639045e-10,2.73689276372e-10,1.01293897853e-10,1.98576333588e-09,1.0,42.5
1785,6.89854821925e-11,8.22814781666e-12,1.83866402865e-10,3.62025252284e-11,1.79589531615e-10,1.12913500017e-10,1.57464646634e-10,2.73689356488e-10,1.01288638544e-10,1.98576354119e-09,1.0,42.5
1786,5.60860699737e-11,3.50635063541e-11,8.18687173192e-11,9.06068834758e-11,4.34197857713e-11,2.98826142969e-11,1.43708399774e-10,4.39190839786e-11,3.18411244474e-11,1.82966560262e-09,1.0,42.5
1787,1.53763230919e-10,2.61630904833e-11,3.88476273322e-11,5.12863799988e-13,4.75940857861e-11,2.82697985683e-11,2.78248943661e-10,8.73246494644e-11,7.2124677173e-11,1.86227135581e-09,1.0,42.5
1788,1.4773228259e-10,3.06659850757e-11,2.01769830622e-11,3.7159987867e-11,5.83744998882e-11,2.62077078297e-10,4.34050530872e-11,5.22655038601e-11,4.01186927637e-10,1.8257995585e-09,1.0,42.5
1789,1.10577863667e-10,1.16909683893e-16,1.10096407355e-10,3.07557213296e-17,1.19306441161e-10,1.7941989841e-15,3.21293003153e-10,8.25895795238e-11,7.84108458091e-15,2.26918434295e-09,1.0,42.5
1790,1.15900712586e-10,9.4601853082e-15,2.87483954864e-10,2.62040707409e-15,2.78518891313e-11,1.39710666521e-14,1.73328254759e-10,3.29099592623e-10,2.3740620228e-13,1.60528007541e-09,1.0,42.5
1791,8.51271062335e-11,9.30166025381e-11,1.6952941612e-10,6.04377103157e-13,1.57547212467e-11,2.13804698686e-10,1.16008842665e-10,2.4851834536e-10,2.47835349959e-10,2.4362090446e-09,1.0,42.5
1792,9.24555046453e-11,6.84509254666e-11,3.38008237634e-10,7.19529779814e-13,1.70073027633e-11,1.26873174238e-10,1.1215635796e-10,2.6308897156e-10,1.765944149e-10,1.70316607143e-09,1.0,42.5
