point,gxxx,gxxy,gxxz,gxyz,gyyx,gyyy,gyyz,gzzx,gzzy,gzzz,size,ratio
0,4.09781983165e-09,1.70762067056e-21,6.77996828514e-09,7.60191907633e-22,4.62078538995e-09,1.9712230985e-21,5.16528323463e-09,8.71860522169e-09,6.10394668579e-21,1.61468505779e-09,1.0,0.0
1,4.09781983165e-09,4.31620258691e-22,6.77996828507e-09,1.79150357014e-20,4.62078538993e-09,8.27051365582e-23,5.1652832347e-09,8.71860522167e-09,3.61250453017e-21,1.61468505756e-09,1.0,0.0
2,4.09781983165e-09,1.57338153561e-21,6.77996828509e-09,2.48841131415e-21,4.62078538993e-09,1.30456722357e-21,5.16528323471e-09,8.71860522167e-09,7.62125442315e-21,1.61468505761e-09,1.0,0.0
3,4.09781983167e-09,4.36603375647e-21,6.7799682851e-09,1.08958427484e-20,4.62078538993e-09,1.08242011525e-20,5.16528323468e-09,8.71860522167e-09,7.13492392176e-21,1.61468505767e-09,1.0,0.0
4,4.09781983166e-09,8.33971894629e-21,6.77996828506e-09,2.67759656753e-21,4.62078538994e-09,2.70232409797e-20,5.16528323467e-09,8.71860522169e-09,7.06698654407e-20,1.6146850576e-09,1.0,0.0
5,4.09781983165e-09,9.75239479851e-21,6.77996828506e-09,3.21549014789e-21,4.62078538994e-09,2.90984561908e-20,5.16528323468e-09,8.71860522168e-09,7.22034065976e-20,1.61468505759e-09,1.0,0.0
6,4.09781983166e-09,4.48502498005e-21,6.77996828511e-09,1.24694375415e-20,4.62078538993e-09,9.37684187572e-21,5.16528323468e-09,8.71860522167e-09,5.19107533165e-21,1.61468505769e-09,1.0,0.0
7,4.09781983165e-09,8.45973122094e-22,6.77996828508e-09,1.13060726334e-21,4.62078538993e-09,7.7904904066e-22,5.16528323472e-09,8.71860522166e-09,9.15115081546e-21,1.6146850576e-09,1.0,0.0
8,4.09781983166e-09,2.96944915209e-22,6.77996828507e-09,1.75793457756e-20,4.62078538993e-09,5.76699983314e-22,5.1652832347e-09,8.71860522167e-09,6.17717801939e-21,1.61468505755e-09,1.0,0.0
9,4.09781983164e-09,1.7986913173e-21,6.77996828514e-09,8.92043204805e-22,4.62078538995e-09,1.98569875922e-21,5.16528323463e-09,8.71860522169e-09,5.32176986844e-21,1.61468505779e-09,1.0,0.0
10,6.63153938671e-09,5.28684733695e-23,6.28435788036e-09,5.29770408249e-22,5.17058326105e-09,2.28831761645e-22,6.65995751909e-09,1.18021226477e-08,3.01403935699e-23,3.75599633351e-10,1.0,0.0
11,6.63153938668e-09,1.97506173353e-21,6.28435788043e-09,2.15556918374e-20,5.17058326105e-09,2.72443566972e-21,6.65995751907e-09,1.18021226476e-08,3.31389232904e-21,3.75599633218e-10,1.0,0.0
12,6.63153938671e-09,7.17758188444e-21,6.28435788041e-09,7.14540908226e-21,5.17058326105e-09,1.13005537878e-20,6.65995751904e-09,1.18021226477e-08,4.97714574573e-21,3.75599633186e-10,1.0,0.0
13,6.63153938669e-09,1.09855142967e-20,6.28435788039e-09,2.687005747e-21,5.17058326104e-09,4.26005770283e-21,6.65995751906e-09,1.18021226476e-08,6.13974809667e-21,3.75599633244e-10,1.0,0.0
14,6.6315393867e-09,2.83786281121e-21,6.28435788038e-09,9.26628401697e-21,5.17058326105e-09,1.30544610297e-20,6.65995751905e-09,1.18021226477e-08,2.09820049241e-20,3.75599633184e-10,1.0,0.0
15,6.6315393867e-09,3.46491741432e-21,6.28435788038e-09,9.43534874819e-21,5.17058326104e-09,1.42389061187e-20,6.65995751906e-09,1.18021226477e-08,2.56401174473e-20,3.75599633204e-10,1.0,0.0
16,6.63153938668e-09,9.15381330306e-21,6.28435788039e-09,3.6910576078e-21,5.17058326104e-09,4.57513596803e-21,6.65995751906e-09,1.18021226476e-08,3.15858916903e-21,3.75599633267e-10,1.0,0.0
17,6.63153938671e-09,6.46782860713e-21,6.28435788041e-09,4.52100087435e-21,5.17058326105e-09,1.50281139713e-20,6.65995751905e-09,1.18021226477e-08,1.370467669e-20,3.75599633196e-10,1.0,0.0
18,6.63153938668e-09,1.61563883268e-21,6.28435788043e-09,2.10384567697e-20,5.17058326105e-09,1.91363064835e-21,6.65995751907e-09,1.18021226476e-08,2.45538225079e-21,3.75599633226e-10,1.0,0.0
19,6.63153938671e-09,7.80651703097e-23,6.28435788036e-09,4.93452009479e-22,5.17058326105e-09,4.6684005821e-22,6.65995751909e-09,1.18021226477e-08,2.04417008877e-22,3.75599633353e-10,1.0,0.0
20,9.30682826171e-09,1.32542768465e-23,4.56267112317e-09,1.2060551825e-21,5.56575799989e-09,5.2905954991e-22,8.42923630394e-09,1.48725862618e-08,9.80648465576e-22,3.86656517783e-09,1.0,0.0
21,9.30682826173e-09,2.68632073805e-21,4.56267112318e-09,8.92388758698e-21,5.56575799989e-09,3.58405468698e-20,8.42923630393e-09,1.48725862618e-08,6.52563043737e-20,3.86656517785e-09,1.0,0.0
22,9.3068282617e-09,4.79191544966e-21,4.56267112319e-09,2.65200409213e-20,5.5657579999e-09,1.03759726581e-20,8.42923630394e-09,1.48725862618e-08,6.34028769643e-21,3.86656517785e-09,1.0,0.0
23,9.30682826173e-09,2.71128479045e-21,4.56267112317e-09,1.61854866667e-20,5.56575799989e-09,7.75391351389e-21,8.42923630397e-09,1.48725862618e-08,2.58302397412e-20,3.86656517786e-09,1.0,0.0
