point,file,gxxx,gxxy,gxxz,gxyz,gyyx,gyyy,gyyz,gzzx,gzzy,gzzz,ratio,size
0,tesseroid_vs_spherical_shell_files/effect-model-size1.0.tess-ratio0.0-height260000-pole.txt,4.09781983165e-09,-1.70762067056e-21,1.47548249305e-07,-7.60191907633e-22,4.62078538995e-09,-1.9712230985e-21,1.35602997785e-07,-8.71860522169e-09,6.10394668579e-21,-2.83151247098e-07,0.0,1.0
1,tesseroid_vs_spherical_shell_files/effect-model-size1.0.tess-ratio0.0-height260000-pole.txt,4.09781983165e-09,4.31620258691e-22,1.47548249305e-07,1.79150357014e-20,4.62078538993e-09,8.27051365582e-23,1.35602997785e-07,-8.71860522167e-09,3.61250453017e-21,-2.83151247098e-07,0.0,1.0
2,tesseroid_vs_spherical_shell_files/effect-model-size1.0.tess-ratio0.0-height260000-pole.txt,4.09781983165e-09,1.57338153561e-21,1.47548249305e-07,2.48841131415e-21,4.62078538993e-09,1.30456722357e-21,1.35602997785e-07,-8.71860522167e-09,-7.62125442315e-21,-2.83151247098e-07,0.0,1.0
3,tesseroid_vs_spherical_shell_files/effect-model-size1.0.tess-ratio0.0-height260000-pole.txt,4.09781983167e-09,-4.36603375647e-21,1.47548249305e-07,-1.08958427484e-20,4.62078538993e-09,-1.08242011525e-20,1.35602997785e-07,-8.71860522167e-09,7.13492392176e-21,-2.83151247098e-07,0.0,1.0
4,tesseroid_vs_spherical_shell_files/effect-model-size1.0.tess-ratio0.0-height260000-pole.txt,4.09781983166e-09,-8.33971894629e-21,1.47548249305e-07,2.67759656753e-21,4.62078538994e-09,-2.70232409797e-20,1.35602997785e-07,-8.71860522169e-09,7.06698654407e-20,-2.83151247098e-07,0.0,1.0
5,tesseroid_vs_spherical_shell_files/effect-model-size1.0.tess-ratio0.0-height260000-pole.txt,4.09781983165e-09,9.75239479851e-21,1.47548249305e-07,-3.21549014789e-21,4.62078538994e-09,2.90984561908e-20,1.35602997785e-07,-8.71860522168e-09,-7.22034065976e-20,-2.83151247098e-07,0.0,1.0
6,tesseroid_vs_spherical_shell_files/effect-model-size1.0.tess-ratio0.0-height260000-pole.txt,4.09781983166e-09,4.48502498005e-21,1.47548249305e-07,1.24694375415e-20,4.62078538993e-09,9.37684187572e-21,1.35602997785e-07,-8.71860522167e-09,-5.19107533165e-21,-2.83151247098e-07,0.0,1.0
7,tesseroid_vs_spherical_shell_files/effect-model-size1.0.tess-ratio0.0-height260000-pole.txt,4.09781983165e-09,-8.45973122094e-22,1.47548249305e-07,-1.13060726334e-21,4.62078538993e-09,-7.7904904066e-22,1.35602997785e-07,-8.71860522166e-09,9.15115081546e-21,-2.83151247098e-07,0.0,1.0
8,tesseroid_vs_spherical_shell_files/effect-model-size1.0.tess-ratio0.0-height260000-pole.txt,4.09781983166e-09,-2.96944915209e-22,1.47548249305e-07,-1.75793457756e-20,4.62078538993e-09,-5.76699983314e-22,1.35602997785e-07,-8.71860522167e-09,-6.17717801939e-21,-2.83151247098e-07,0.0,1.0
9,tesseroid_vs_spherical_shell_files/effect-model-size1.0.tess-ratio0.0-height260000-pole.txt,4.09781983164e-09,-1.7986913173e-21,1.47548249305e-07,-8.92043204805e-22,4.62078538995e-09,-1.98569875922e-21,1.35602997785e-07,-8.71860522169e-09,5.32176986844e-21,-2.83151247098e-07,0.0,1.0
10,tesseroid_vs_spherical_shell_files/effect-model-size1.0.tess-ratio0.0-height260000-pole.txt,6.63153938671e-09,-5.28684733695e-23,1.470526389e-07,5.29770408249e-22,5.17058326105e-09,2.28831761645e-22,1.34108323501e-07,-1.18021226477e-08,3.01403935699e-23,-2.81160962407e-07,0.0,1.0
11,tesseroid_vs_spherical_shell_files/effect-model-size1.0.tess-ratio0.0-height260000-pole.txt,6.63153938668e-09,-1.97506173353e-21,1.47052638901e-07,-2.15556918374e-20,5.17058326105e-09,2.72443566972e-21,1.34108323501e-07,-1.18021226476e-08,3.31389232904e-21,-2.81160962407e-07,0.0,1.0
12,tesseroid_vs_spherical_shell_files/effect-model-size1.0.tess-ratio0.0-height260000-pole.txt,6.63153938671e-09,7.17758188444e-21,1.47052638901e-07,-7.14540908226e-21,5.17058326105e-09,-1.13005537878e-20,1.34108323501e-07,-1.18021226477e-08,4.97714574573e-21,-2.81160962407e-07,0.0,1.0
13,tesseroid_vs_spherical_shell_files/effect-model-size1.0.tess-ratio0.0-height260000-pole.txt,6.63153938669e-09,1.09855142967e-20,1.47052638901e-07,2.687005747e-21,5.17058326104e-09,-4.26005770283e-21,1.34108323501e-07,-1.18021226476e-08,-6.13974809667e-21,-2.81160962407e-07,0.0,1.0
14,tesseroid_vs_spherical_shell_files/effect-model-size1.0.tess-ratio0.0-height260000-pole.txt,6.6315393867e-09,2.83786281121e-21,1.47052638901e-07,9.26628401697e-21,5.17058326105e-09,-1.30544610297e-20,1.34108323501e-07,-1.18021226477e-08,2.09820049241e-20,-2.81160962407e-07,0.0,1.0
15,tesseroid_vs_spherical_shell_files/effect-model-size1.0.tess-ratio0.0-height260000-pole.txt,6.6315393867e-09,-3.46491741432e-21,1.47052638901e-07,-9.43534874819e-21,5.17058326104e-09,1.42389061187e-20,1.34108323501e-07,-1.18021226477e-08,-2.56401174473e-20,-2.81160962407e-07,0.0,1.0
16,tesseroid_vs_spherical_shell_files/effect-model-size1.0.tess-ratio0.0-height260000-pole.txt,6.63153938668e-09,-9.15381330306e-21,1.47052638901e-07,-3.6910576078e-21,5.17058326104e-09,4.57513596803e-21,1.34108323501e-07,-1.18021226476e-08,3.15858916903e-21,-2.81160962407e-07,0.0,1.0
17,tesseroid_vs_spherical_shell_files/effect-model-size1.0.tess-ratio0.0-height260000-pole.txt,6.63153938671e-09,-6.46782860713e-21,1.47052638901e-07,4.52100087435e-21,5.17058326105e-09,1.50281139713e-20,1.34108323501e-07,-1.18021226477e-08,-1.370467669e-20,-2.81160962407e-07,0.0,1.0
18,tesseroid_vs_spherical_shell_files/effect-model-size1.0.tess-ratio0.0-height260000-pole.txt,6.63153938668e-09,1.61563883268e-21,1.47052638901e-07,2.10384567697e-20,5.17058326105e-09,-1.91363064835e-21,1.34108323501e-07,-1.18021226476e-08,-2.45538225079e-21,-2.81160962407e-07,0.0,1.0
19,tesseroid_vs_spherical_shell_files/effect-model-size1.0.tess-ratio0.0-height260000-pole.txt,6.63153938671e-09,7.80651703097e-23,1.470526389e-07,4.93452009479e-22,5.17058326105e-09,4.6684005821e-22,1.34108323501e-07,-1.18021226477e-08,2.04417008877e-22,-2.81160962407e-07,0.0,1.0
20,tesseroid_vs_spherical_shell_files/effect-model-size1.0.tess-ratio0.0-height260000-pole.txt,9.30682826171e-09,1.32542768465e-23,1.45330952143e-07,1.2060551825e-21,5.56575799989e-09,-5.2905954991e-22,1.32339044716e-07,-1.48725862618e-08,9.80648465576e-22,-2.77669996862e-07,0.0,1.0
21,tesseroid_vs_spherical_shell_files/effect-model-size1.0.tess-ratio0.0-height260000-pole.txt,9.30682826173e-09,2.68632073805e-21,1.45330952143e-07,-8.92388758698e-21,5.56575799989e-09,3.58405468698e-20,1.32339044716e-07,-1.48725862618e-08,-6.52563043737e-20,-2.77669996862e-07,0.0,1.0
22,tesseroid_vs_spherical_shell_files/effect-model-size1.0.tess-ratio0.0-height260000-pole.txt,9.3068282617e-09,4.79191544966e-21,1.45330952143e-07,-2.65200409213e-20,5.5657579999e-09,-1.03759726581e-20,1.32339044716e-07,-1.48725862618e-08,6.34028769643e-21,-2.77669996862e-07,0.0,1.0
23,tesseroid_vs_spherical_shell_files/effect-model-size1.0.tess-ratio0.0-height260000-pole.txt,9.30682826173e-09,2.71128479045e-21,1.45330952143e-07,1.61854866667e-20,5.56575799989e-09,7.75391351389e-21,1.32339044716e-07,-1.48725862618e-08,-2.58302397412e-20,-2.77669996862e-07,0.0,1.0
24,tesseroid_vs_spherical_shell_files/effect-model-size1.0.tess-ratio0.0-height260000-pole.txt,9.30682826173e-09,2.32409317794e-21,1.45330952143e-07,1.46427431255e-20,5.56575799989e-09,6.466639535e-21,1.32339044716e-07,-1.48725862619e-08,-3.40167687155e-20,-2.77669996862e-07,0.0,1.0
25,tesseroid_vs_spherical_shell_files/effect-model-size1.0.tess-ratio0.0-height260000-pole.txt,9.30682826172e-09,-4.46297544685e-21,1.45330952143e-07,-1.32565192814e-20,5.56575799989e-09,-6.27372550651e-21,1.32339044716e-07,-1.48725862619e-08,4.20323039475e-20,-2.77669996862e-07,0.0,1.0
26,tesseroid_vs_spherical_shell_files/effect-model-size1.0.tess-ratio0.0-height260000-pole.txt,9.30682826172e-09,-2.74498593806e-21,1.45330952143e-07,-1.64633042419e-20,5.56575799989e-09,-6.83744909397e-21,1.32339044716e-07,-1.48725862618e-08,2.71230971892e-20,-2.77669996862e-07,0.0,1.0
27,tesseroid_vs_spherical_shell_files/effect-model-size1.0.tess-ratio0.0-height260000-pole.txt,9.30682826169e-09,-3.53611957048e-21,1.45330952143e-07,2.85741739321e-20,5.56575799989e-09,1.02551267405e-20,1.32339044716e-07,-1.48725862618e-08,-6.65394424495e-21,-2.77669996862e-07,0.0,1.0
28,tesseroid_vs_spherical_shell_files/effect-model-size1.0.tess-ratio0.0-height260000-pole.txt,9.30682826172e-09,-2.28864073387e-21,1.45330952143e-07,1.01519335357e-20,5.56575799989e-09,-3.46182841172e-20,1.32339044716e-07,-1.48725862618e-08,6.1942696388e-20,-2.77669996862e-07,0.0,1.0
29,tesseroid_vs_spherical_shell_files/effect-model-size1.0.tess-ratio0.0-height260000-pole.txt,9.30682826171e-09,2.55572959885e-22,1.45330952143e-07,1.16754362419e-21,5.56575799989e-09,-4.09144210484e-22,1.32339044716e-07,-1.48725862618e-08,1.3048774163e-21,-2.77669996862e-07,0.0,1.0
30,tesseroid_vs_spherical_shell_files/effect-model-size1.0.tess-ratio0.0-height260000-pole.txt,1.15792528566e-08,-4.49178459662e-22,1.4233654617e-07,1.92404876199e-21,5.7137527882e-09,-1.48035602844e-21,1.30372771319e-07,-1.7293005645e-08,4.11424127047e-21,-2.72709317494e-07,0.0,1.0
31,tesseroid_vs_spherical_shell_files/effect-model-size1.0.tess-ratio0.0-height260000-pole.txt,1.15792528567e-08,-1.09459001002e-20,1.4233654617e-07,-3.53792668547e-20,5.71375278818e-09,2.3088291107e-21,1.30372771319e-07,-1.7293005645e-08,7.53406441671e-22,-2.72709317494e-07,0.0,1.0
32,tesseroid_vs_spherical_shell_files/effect-model-size1.0.tess-ratio0.0-height260000-pole.txt,1.15792528567e-08,9.28680197357e-21,1.4233654617e-07,-1.26717559027e-20,5.71375278818e-09,2.96994029058e-21,1.30372771319e-07,-1.7293005645e-08,-1.82326116643e-20,-2.72709317494e-07,0.0,1.0
33,tesseroid_vs_spherical_shell_files/effect-model-size1.0.tess-ratio0.0-height260000-pole.txt,1.15792528567e-08,-5.1818018615e-21,1.4233654617e-07,-1.08824285284e-20,5.7137527882e-09,-8.87996482152e-21,1.30372771319e-07,-1.7293005645e-08,8.32066148046e-21,-2.72709317494e-07,0.0,1.0
34,tesseroid_vs_spherical_shell_files/effect-model-size1.0.tess-ratio0.0-height260000-pole.txt,1.15792528566e-08,6.81086945444e-21,1.4233654617e-07,1.39835690346e-21,5.71375278819e-09,3.18733369532e-21,1.30372771319e-07,-1.72930056449e-08,-4.71182756426e-21,-2.72709317494e-07,0.0,1.0
35,tesseroid_vs_spherical_shell_files/effect-model-size1.0.tess-ratio0.0-height260000-pole.txt,1.15792528566e-08,-5.67749630593e-21,1.4233654617e-07,-9.88243340692e-22,5.71375278819e-09,-5.27185468835e-21,1.30372771319e-07,-1.72930056449e-08,4.54179024959e-21,-2.72709317494e-07,0.0,1.0
36,tesseroid_vs_spherical_shell_files/effect-model-size1.0.tess-ratio0.0-height260000-pole.txt,1.15792528566e-08,4.75820137735e-21,1.4233654617e-07,9.55394415292e-21,5.7137527882e-09,7.81533167437e-21,1.30372771319e-07,-1.7293005645e-08,-7.39385730288e-21,-2.72709317494e-07,0.0,1.0
37,tesseroid_vs_spherical_shell_files/effect-model-size1.0.tess-ratio0.0-height260000-pole.txt,1.15792528567e-08,-8.39775729849e-21,1.4233654617e-07,1.06892963957e-20,5.71375278818e-09,-4.21071120941e-21,1.30372771319e-07,-1.7293005645e-08,1.86398430196e-20,-2.72709317494e-07,0.0,1.0
38,tesseroid_vs_spherical_shell_files/effect-model-size1.0.tess-ratio0.0-height260000-pole.txt,1.15792528567e-08,1.0773368319e-20,1.4233654617e-07,3.51364643033e-20,5.71375278818e-09,-1.01019432308e-21,1.30372771319e-07,-1.72930056449e-08,-7.66589632684e-22,-2.72709317494e-07,0.0,1.0
39,tesseroid_vs_spherical_shell_files/effect-model-size1.0.tess-ratio0.0-height260000-pole.txt,1.15792528566e-08,-6.7358351256e-22,1.4233654617e-07,2.06867854559e-21,5.7137527882e-09,-1.7695461254e-21,1.30372771319e-07,-1.7293005645e-08,3.98096179428e-21,-2.72709317494e-07,0.0,1.0
40,tesseroid_vs_spherical_shell_files/effect-model-size1.0.tess-ratio0.0-height260000-pole.txt,1.29150023207e-08,4.18889432076e-23,1.38311275563e-07,-4.56594004606e-22,5.54260244805e-09,-4.254034794e-22,1.28330515095e-07,-1.84576047688e-08,-3.6525193923e-22,-2.66641790662e-07,0.0,1.0
41,tesseroid_vs_spherical_shell_files/effect-model-size1.0.tess-ratio0.0-height260000-pole.txt,1.29150023207e-08,-2.97849644004e-22,1.38311275563e-07,1.60775185941e-20,5.54260244806e-09,8.93581243756e-21,1.28330515095e-07,-1.84576047687e-08,-2.10246564244e-20,-2.66641790662e-07,0.0,1.0
42,tesseroid_vs_spherical_shell_files/effect-model-size1.0.tess-ratio0.0-height260000-pole.txt,1.29150023207e-08,-9.05066129573e-21,1.38311275563e-07,2.22614691548e-20,5.54260244804e-09,1.1333227422e-20,1.28330515094e-07,-1.84576047688e-08,3.95322539436e-21,-2.66641790662e-07,0.0,1.0
43,tesseroid_vs_spherical_shell_files/effect-model-size1.0.tess-ratio0.0-height260000-pole.txt,1.29150023207e-08,1.17725249507e-21,1.38311275563e-07,1.50412002271e-20,5.54260244805e-09,-3.1347534427e-20,1.28330515094e-07,-1.84576047688e-08,5.78909331032e-20,-2.66641790662e-07,0.0,1.0
44,tesseroid_vs_spherical_shell_files/effect-model-size1.0.tess-ratio0.0-height260000-pole.txt,1.29150023207e-08,2.06660736289e-21,1.38311275563e-07,7.48260150415e-21,5.54260244804e-09,1.06984955488e-20,1.28330515094e-07,-1.84576047688e-08,-3.65073061423e-20,-2.66641790662e-07,0.0,1.0
45,tesseroid_vs_spherical_shell_files/effect-model-size1.0.tess-ratio0.0-height260000-pole.txt,1.29150023207e-08,-5.2310126456e-22,1.38311275563e-07,-5.53682713418e-21,5.54260244804e-09,-1.12804429591e-20,1.28330515094e-07,-1.84576047688e-08,3.79089119915e-20,-2.66641790662e-07,0.0,1.0
46,tesseroid_vs_spherical_shell_files/effect-model-size1.0.tess-ratio0.0-height260000-pole.txt,1.29150023207e-08,-5.25518182913e-22,1.38311275563e-07,-1.56523574528e-20,5.54260244805e-09,3.02762579855e-20,1.28330515094e-07,-1.84576047688e-08,-5.58311758297e-20,-2.66641790662e-07,0.0,1.0
